#{"t_start": 1682366685.5042574, "env_id": null}
r,l,t,current_date,agent_id
177.23334,29,426.403357,2017-08-24,13
250.91331,33,426.403374,2018-08-21,26
204.72,21,427.532643,2017-10-08,10
207.68333,37,428.437032,2017-11-14,15
191.90332,49,428.437123,2018-01-29,16
200.7633,37,429.236968,2018-08-21,3
181.61002,23,429.237089,2017-12-27,6
221.54999,28,429.237109,2017-06-17,21
193.10664,39,430.67905,2017-08-29,0
206.33,31,430.67915,2018-03-14,18
256.49002,33,430.679174,2017-10-03,23
214.64665,48,430.679187,2017-09-13,28
235.69998,25,431.688321,2018-07-30,1
261.10333,28,431.688413,2018-01-21,27
197.32669,34,431.68843,2017-07-14,30
158.14333,31,433.043566,2017-11-13,24
223.35664,34,433.043662,2017-09-09,25
174.23666,33,433.868243,2018-06-16,7
161.14,34,434.662243,2017-08-17,5
166.67001,26,436.644527,2018-08-06,19
170.20337,29,437.459181,2017-06-26,11
229.05331,38,437.459274,2017-09-17,17
196.33336,47,438.444257,2018-01-31,14
183.50002,18,439.872902,2017-10-08,26
175.89333,29,441.202974,2017-12-01,20
208.48332,34,441.880526,2018-04-10,31
197.78668,48,442.813571,2017-11-01,9
240.02998,35,442.813664,2018-08-19,22
156.67334,33,443.521612,2018-01-22,2
135.53665,31,443.521702,2017-08-28,4
153.07332,21,444.69653,2017-11-22,21
184.88664,22,447.468055,2018-06-05,1
219.57668,26,448.277155,2017-12-23,3
148.08,21,449.212036,2018-04-02,7
185.68002,31,449.212152,2017-10-09,13
159.24998,25,449.21217,2018-05-31,28
237.95667,22,450.97778,2018-06-05,5
236.20667,24,450.977881,2017-10-28,24
251.94661,32,451.790836,2017-07-15,10
214.92665,31,451.790944,2018-08-15,16
162.53667,38,453.369247,2017-11-01,8
196.28331,30,453.369384,2018-03-28,18
227.9233,27,453.369403,2018-07-25,25
222.12668,38,453.369416,2017-10-24,29
163.03667,37,454.134336,2017-12-20,12
181.69666,32,454.938615,2018-05-16,0
178.02002,25,455.667459,2018-02-12,19
142.80666,34,456.457115,2018-07-06,23
220.20999,37,457.453418,2018-03-02,6
203.03996,34,457.453543,2017-12-01,30
229.49663,27,458.332471,2018-03-12,11
205.5333,20,459.098888,2017-07-20,4
213.68665,28,459.751732,2018-03-17,14
189.66335,24,460.443821,2017-07-11,31
247.56332,44,461.807005,2017-09-28,15
233.65997,30,462.695616,2018-08-08,26
210.39334,41,462.695708,2018-04-18,27
213.02,30,464.223892,2018-02-02,20
192.98332,30,465.766756,2018-02-22,22
170.62004,22,466.773969,2018-07-04,13
240.43666,30,467.950935,2017-11-04,21
178.34668,26,468.73419,2018-03-20,3
204.02666,41,468.734283,2018-03-07,17
127.536674,21,469.475371,2018-05-05,8
153.81998,26,470.865325,2018-08-01,5
266.8567,23,471.539444,2017-07-23,12
173.02667,40,473.06714,2018-07-07,9
155.8167,28,473.067228,2018-07-26,10
191.59,29,473.067244,2018-05-03,24
224.30998,32,473.846645,2017-09-28,28
206.98999,36,476.545592,2018-07-13,7
187.0,22,476.545708,2018-04-05,31
209.04001,30,477.467338,2017-10-20,0
154.87334,32,477.467428,2018-08-16,18
173.78001,29,477.467445,2017-10-16,19
180.21002,20,477.467457,2017-11-19,26
208.54668,28,478.983251,2018-05-03,11
212.36,20,478.983385,2018-06-20,20
220.37335,30,478.983424,2017-06-17,23
